File /eos/project/c/cmsweb/www/reco-prof/circles/data/CMSSW_12_4_0_pre2/slc7_amd64_gcc10/11834.21/step3.root Events 400
Branch Name | Average Uncompressed Size (Bytes/Event) | Average Compressed Size (Bytes/Event) 
generalTracks: (recoTracks) 629865 208109
particleFlow: (recoPFCandidates) 730943 114302
genParticles: (recoGenParticles) 356199 30946.2
hltTriggerSummaryAOD: (triggerTriggerEvent) 74657.9 21476.6
trackExtrapolator: (recoTrackExtrapolations) 42524.5 13366.5
hltScoutingTrackPacker: (Run3ScoutingTracks) 25452 11677.9
ak4PFJets: (recoPFJets) 59512 10517.6
addPileupInfo: (PileupSummaryInfos) 26325.8 8591.95
dedxHarmonic2: (recoDeDxDataedmValueMap) 25997.6 8098.82
dedxPixelHarmonic2: (recoDeDxDataedmValueMap) 26009 8002.07
ak4PFJetsCHS: (recoPFJets) 41073.1 7911.68
hltScoutingPFPacker: (Run3ScoutingParticles) 23163.3 6979.22
generalTracks:MVAValues (floats) 8623.7 6817.28
EventProductProvenance 10822.9 6815.76
hltGtStage2ObjectMap: (GlobalObjectMapRecord) 72573.7 6695.29
muons: (recoMuons) 15432.5 6633.14
reducedEcalRecHitsEB: (EcalRecHitsSorted) 14531.1 6598.44
offlinePrimaryVertices: (recoVertexs) 51349.1 6349.66
offlinePrimaryVerticesWithBS: (recoVertexs) 51353.3 6246.88
ak4CaloJets: (recoCaloJets) 27389.6 6134.98
reducedEcalRecHitsEE: (EcalRecHitsSorted) 12207.2 6131.23
cscSegments: (CSCDetIdCSCSegmentsOwnedRangeMap) 11381.6 6010.7
multi5x5SuperClusters:multi5x5EndcapBasicClusters (recoCaloClusters) 19245.4 5703.69
conversionStepTracks: (recoTracks) 15164.2 5421.48
lowPtGsfElectrons: (recoGsfElectrons) 10498.5 4785.5
hpsPFTauProducer: (recoPFTaus) 23002.4 4206.96
particleFlowTmpPtrs: (recoPFCandidateedmFwdPtrs) 81382.7 4002.18
particleFlowPtrs: (recoPFCandidateedmFwdPtrs) 81370.5 3989.94
allConversions: (recoConversions) 13205.9 3418.58
displacedStandAloneMuons: (TrackingRecHitsOwned) 7384.58 3242.18
reducedHcalRecHits:hbhereco (HBHERecHitsSorted) 5653.07 3233.22
ak4JetID: (recoJetIDedmValueMap) 7972.69 3207.33
dedxHitInfo: (recoDeDxHitInfos) 7684.07 3167.18
lowPtGsfElectronSuperClusters: (recoCaloClusters) 7516.69 3096.37
refittedStandAloneMuons: (TrackingRecHitsOwned) 6890.98 3037.18
standAloneMuons: (TrackingRecHitsOwned) 6890.34 3034.8
reducedEcalRecHitsES: (EcalRecHitsSorted) 7134.56 2899.95
hltScoutingEgammaPacker: (Run3ScoutingPhotons) 34101.8 2571.01
correctedMulti5x5SuperClustersWithPreshower: (recoSuperClusters) 9278.26 2532.3
ak4JetTracksAssociatorAtVertexPF: (recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector) 9046.92 2490.21
JetPlusTrackZSPCorJetAntiKt4: (recoJPTJets) 18049.7 2345.76
hpsPFTauTransverseImpactParameters:PFTauTIP (recoPFTauTransverseImpactParameters) 5844.9 2311.57
hybridSuperClusters:hybridBarrelBasicClusters (recoCaloClusters) 11062.5 2237.69
multi5x5SuperClustersWithPreshower:preshowerYClusters (recoPreshowerClusters) 12005.1 2154.07
multi5x5SuperClustersWithPreshower:preshowerXClusters (recoPreshowerClusters) 11217.2 2073.89
ak8GenJets: (recoGenJets) 9755.61 2045.86
ak8GenJetsNoNu: (recoGenJets) 9661.24 2020.58
displacedGlobalMuons: (TrackingRecHitsOwned) 5041.28 1829.04
photons: (recoPhotons) 3306.84 1808.01
gedPhotons: (recoPhotons) 3190.8 1756.62
gedGsfElectrons: (recoGsfElectrons) 3378.6 1751
ak4JetExtender: (recoJetedmRefToBaseProdTorecoJetExtendedAssociationJetExtendedDatasAssociationVector) 3753.62 1685.72
ak4GenJets: (recoGenJets) 7389.43 1651.04
ak4GenJetsNoNu: (recoGenJets) 7242.59 1615.39
ak4JetTracksAssociatorAtVertex: (recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector) 5557.33 1520.82
inclusiveSecondaryVertices: (recoVertexs) 5796.65 1517.68
offlinePrimaryVerticesWithBS: (recoVertexsedmAssociation) 6238.65 1485.81
offlinePrimaryVertices: (recoVertexsedmAssociation) 6234.52 1481.77
muonsFromCosmics: (recoMuons) 3812.04 1476.82
correctedHybridSuperClusters: (recoSuperClusters) 8068.41 1424.16
uncleanedOnlyAllConversions: (recoConversions) 5298.97 1406.88
electronGsfTracks: (recoGsfTracks) 3314.23 1397.92
lowPtGsfEleGsfTracks: (recoGsfTracks) 3343.98 1389.89
particleFlowSuperClusterECAL:particleFlowBasicClusterECALPreshower (recoCaloClusters) 3590.69 1264.43
genParticles: (ints) 6800.35 1257.03
ak4JetTracksAssociatorExplicit: (recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector) 3806.25 1226.31
dt4DSegments: (DTChamberIdDTRecSegment4DsOwnedRangeMap) 4567.95 1056.2
particleFlowSuperClusterECAL:particleFlowBasicClusterECALBarrel (recoCaloClusters) 2386.52 1045.5
dt4DCosmicSegments: (DTChamberIdDTRecSegment4DsOwnedRangeMap) 4354.57 988.643
globalMuons: (recoTrackExtras) 1468.01 975.825
tevMuons:default (recoTrackExtras) 1304.36 963.925
genPUProtons: (recoGenParticles) 6352.66 961.125
tevMuons:picky (recoTrackExtras) 1292.59 952.78
tevMuons:firstHit (recoTrackExtras) 1222.15 899.33
tevMuons:dyt (recoTrackExtras) 1203.01 882.375
particleFlowSuperClusterECAL:particleFlowSuperClusterECALBarrel (recoSuperClusters) 2440.26 855.928
ak4PFJetsPuppi: (recoPFJets) 3534.51 823.745
hltScoutingEgammaPacker: (Run3ScoutingElectrons) 7243.04 810.175
particleFlowEGamma:EBEEClusters (recoCaloClusters) 1822.4 792.785
puppiNoLep: (floatedmValueMap) 11715.3 785.092
puppi: (floatedmValueMap) 11710.2 779.46
particleFlowEGamma:ESClusters (recoCaloClusters) 2220.71 778.058
particleFlowEGamma: (recoSuperClusters) 2144.71 726.898
displacedGlobalMuons: (recoTrackExtras) 1097.54 710.93
displacedStandAloneMuons: (recoTrackExtras) 1121 690.465
hpsPFTauBasicDiscriminators: (recoSingleTauDiscriminatorContaineredmValueMap) 1864.29 665.597
muonsFromCosmics1Leg: (recoMuons) 1572.76 662.707
refittedStandAloneMuons: (recoTrackExtras) 1039.44 633.847
standAloneMuons: (recoTrackExtras) 1036.3 631.898
hltFEDSelectorL1: (FEDRawDataCollection) 17572.4 615.345
generalV0Candidates:Kshort (recoVertexCompositeCandidates) 1816.95 585.84
uncleanedOnlyGsfElectrons: (recoGsfElectrons) 1334.58 562.345
ckfInOutTracksFromConversions: (recoTracks) 1568.21 561.005
offlinePrimaryVerticesWithBS: (intedmValueMap) 6165.55 558.112
offlinePrimaryVertices: (intedmValueMap) 6162.23 555.495
hpsPFTauProducer:pizeros (recoRecoTauPiZeros) 1783.82 540.957
particleFlowSuperClusterECAL:particleFlowSuperClusterECALEndcapWithPreshower (recoSuperClusters) 1435 523.965
hpsPFTauBasicDiscriminatorsdR03: (recoSingleTauDiscriminatorContaineredmValueMap) 1779.69 521.888
hltScoutingPFPacker: (Run3ScoutingPFJets) 1802.17 512.452
displacedTracks: (recoTracks) 1240.27 492.548
